Module,Type,TC ID,Name / Title,Preconditions,Steps to be executed,Expected results,Test Type,Precondition Key,Test Set Key,,
FR2: Adding Stories,GUI,2101,"Verify  ""+"" button exists in the top right of the home page",App is Installed and Opened,Click on HOME icon,"""+"" button exists in the top right of the home page ",Manual,FTT-72,FTT-218,App is Installed and Opened,FTT-72
FR2: Adding Stories,GUI,2102,"Verify  ""Story"" button exists in the ""Add"" pop-up",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,You have at least one photo in gallery,FTT-73
,,2102,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,Facebook is given permision to access gallery,FTT-74
FR2: Adding Stories,GUI,2103,"Verify  ""Camera"" button exists in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,Facebook is given permision to access camera,FTT-75
,,2103,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,You have at least one video in gallery,FTT-76
,,2103,,,"Click on ""Story""","""Camera"" Button should exist in the lower right corner",,,,Facebook is given permision to record audio,FTT-77
FR2: Adding Stories,GUI,2104,"Verify  ""Story Privacy"" button exists in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,Facebook is given permision to record video,FTT-79
,,2104,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2104,,,"Click on ""Story""","""Story Privacy"" Button should exist in the upper right corner",,,,,
FR2: Adding Stories,GUI,2105,"Verify  ""Select Multiple"" button exists in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,GUI,FTT-218
,,2105,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,Positive,FTT-219
,,2105,,,"Click on ""Story""","""Select multiple"" Button should exist",,,,Negative,FTT-220
FR2: Adding Stories,GUI,2106,"Verify  ""close"" ""x"" button exists in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2106,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2106,,,"Click on ""Story""","""x"" Button should exist in the upper left corner",,,,,
FR2: Adding Stories,GUI,2107,"Verify  ""Text"" option exists in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2107,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2107,,,"Click on ""Story""","""Text"" option exists in ""Create story"" Menu",,,,,
FR2: Adding Stories,GUI,2108,"Verify  ""Music"" option exists in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2108,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2108,,,"Click on ""Story""","""Music"" option exists in ""Create story"" Menu",,,,,
FR2: Adding Stories,GUI,2109,"Verify  ""Green Screen"" option exists in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2109,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2109,,,"Click on ""Story""","""Green Screen"" option exists in ""Create story"" Menu",,,,,
FR2: Adding Stories,GUI,2110,"Verify  ""Bomerang"" option exists in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2110,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2110,,,"Click on ""Story""","""Bomerang"" option exists in ""Create story"" Menu",,,,,
FR2: Adding Stories,GUI,2111,"Verify  ""Selfie"" option exists in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2111,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2111,,,"Click on ""Story""","""Selfie"" option exists in ""Create story"" Menu",,,,,
FR2: Adding Stories,GUI,2112,"Verify Photos from gallery appears in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2112,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2112,,,"Click on ""Story""","photos exist in ""Create story"" Menu",,,,,
FR2: Adding Stories,GUI,2113,"Verify ""Public"" option exists in Story Privacy Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2113,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2113,,,"Click on ""Story""","""Story Privacy"" Button should exist in the upper right corner",,,,,
,,2113,,,"Click on ""Story Privacy"" Button ","""Public"" option exists in Story Privacy Menu",,,,,
FR2: Adding Stories,GUI,2114,"Verify ""Friends"" option exists in Story Privacy Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2114,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2114,,,"Click on ""Story""","""Story Privacy"" Button should exist in the upper right corner",,,,,
,,2114,,,"Click on ""Story Privacy"" Button ","""Friends"" option exists in Story Privacy Menu",,,,,
FR2: Adding Stories,GUI,2115,"Verify ""Hide story from"" option exists in Story Privacy Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2115,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2115,,,"Click on ""Story""","""Story Privacy"" Button should exist in the upper right corner",,,,,
,,2115,,,"Click on ""Story Privacy"" Button ","""Hide story from"" option exists in Story Privacy Menu",,,,,
FR2: Adding Stories,GUI,2116,"Verify ""Custom"" option exists in Story Privacy Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2116,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2116,,,"Click on ""Story""","""Story Privacy"" Button should exist in the upper right corner",,,,,
,,2116,,,"Click on ""Story Privacy"" Button ","""Custom"" option exists in Story Privacy Menu",,,,,
FR2: Adding Stories,GUI,2117,"Verify ""Comments"" option exists in Story Privacy Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2117,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2117,,,"Click on ""Story""","""Story Privacy"" Button should exist in the upper right corner",,,,,
,,2117,,,"Click on ""Story Privacy"" Button ","""Comments"" option exists in Story Privacy Menu",,,,,
FR2: Adding Stories,GUI,2118,"Verify ""Always Share to instagram"" option exists in Story Privacy Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2118,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2118,,,"Click on ""Story""","""Story Privacy"" Button should exist in the upper right corner",,,,,
,,2118,,,"Click on ""Story Privacy"" Button ","""Always Share to instagram"" option exists in Story Privacy Menu",,,,,
FR2: Adding Stories,GUI,2119,"Verify ""Stories you've muted"" option exists in Story Privacy Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2119,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2119,,,"Click on ""Story""","""Story Privacy"" Button should exist in the upper right corner",,,,,
,,2119,,,"Click on ""Story Privacy"" Button ","""Stories you've muted"" option exists in Story Privacy Menu",,,,,
FR2: Adding Stories,GUI,2120,"Verify Search bar exists in ""Add Music"" menu in ""Create story"" Menu",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-218,,
,,2120,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2120,,,"Click on ""Story""","""Music"" option exists in ""Create story"" Menu",,,,,
,,2120,,,"Click on ""Music"" option","Search bar exists in ""Add Music"" menu in ""Create story"" Menu",,,,,
FR2: Adding Stories,Positive,2201,Add a story with no attachments i.e just text,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2201,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2201,,,"Click on ""Story""",,,,,,
,,2201,,,"Click on ""Text"" option","Blank window witth blue background and ""Start typing"" Text opens by default",,,,,
,,2201,,,Write text,,,,,,
,,2201,,,Click Done button in the upper right corner,,,,,,
,,2201,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2202,Add a story with one photo from gallery,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2202,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2202,,,"Click on ""Story""",,,,,,
,,2202,,,Choose the photo you want,window with the photo as background opens by default,,,,,
,,2202,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2203,Add several photos from gallery as separate stories,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2203,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2203,,,"Click on ""Story""",,,,,,
,,2203,,,"Click on ""Select multiple""",,,,,,
,,2203,,,Choose several photos,,,,,,
,,2203,,,"click on ""separate stories"" button",,,,,,
,,2203,,,Click Share button in the lower right corner,Stories are added,,,,,
FR2: Adding Stories,Positive,2204,Add several photos from gallery as one collaged phorto story,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2204,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2204,,,"Click on ""Story""",,,,,,
,,2204,,,"Click on ""Select multiple""",,,,,,
,,2204,,,Choose several photos,,,,,,
,,2204,,,"click on ""Photo collage"" button",,,,,,
,,2204,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2205,Add a story with one photo using camera,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2205,,Facebook is given permision to access camera,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-75,,,
,,2205,,,"Click on ""Story""",,,,,,
,,2205,,,"Click on ""camera"" button in the lower right",window with the photo as background opens by default,,,,,
,,2205,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2206,Add a story with several photos using camera,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2206,,Facebook is given permision to access camera,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-75,,,
,,2206,,,"Click on ""Story""","""Music"" option exists in ""Create story"" Menu",,,,,
,,2206,,,"Click on ""camera"" button in the lower right",window with the photo as background opens by default,,,,,
,,2206,,,Click on the middle button to take a photo,,,,,,
,,2206,,,"Click on ""camera"" button in the lower right",,,,,,
,,2206,,,Click on the middle button to take a photo,,,,,,
,,2206,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2207,Add several videos as several stories using camera,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2207,,Facebook is given permision to access camera,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-75,,,
,,2207,,,"Click on ""Story""",,,,,,
,,2207,,,"Click on ""camera"" button in the lower right",window with the photo as background opens by default,,,,,
,,2207,,,hold the middle button to record a video,,,,,,
,,2207,,,"Click on ""camera"" button in the lower right",,,,,,
,,2207,,,hold the middle button to record a video,,,,,,
,,2207,,,Click Share button in the lower right corner,Stories are added,,,,,
FR2: Adding Stories,Positive,2208,Add several videos from gallery as separate stories,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2208,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2208,,,"Click on ""Story""",,,,,,
,,2208,,,"Click on ""Select multiple""",,,,,,
,,2208,,,Choose several videos,Photo collage option is unavailable,,,,,
,,2208,,,"click on ""separate stories"" button",,,,,,
,,2208,,,choose videos,,,,,,
,,2208,,,Click Share button in the lower right corner,Stories are added,,,,,
FR2: Adding Stories,Positive,2209,Add a story with one photo from gallery and music,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2209,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2209,,,"Click on ""Story""",,,,,,
,,2209,,,Choose the photo you want,window with the photo as background opens by default,,,,,
,,2209,,,"click on the ""Music"" icon in the right",a pop-up window with suggested music and search bar is opened,,,,,
,,2209,,,choose a song,,,,,,
,,2209,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2210,Add a story with music in it,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2210,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2210,,,"Click on ""Story""",,,,,,
,,2210,,,"click on the ""Music"" menu",a pop-up window with suggested music and search bar is opened,,,,,
,,2210,,,choose a song,,,,,,
,,2210,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2211,Add a story with one photo from gallery and add music to it,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2211,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2211,,,"Click on ""Story""",,,,,,
,,2211,,,Choose the photo you want,window with the photo as background opens by default,,,,,
,,2211,,,"click on the ""Music"" icon in the right",a pop-up window with suggested music and search bar is opened,,,,,
,,2211,,,choose a song,,,,,,
,,2211,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2212,Add a story with one photo from gallery and tag a friend in it,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2212,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2212,,,"Click on ""Story""",,,,,,
,,2212,,,Choose the photo you want,window with the photo as background opens by default,,,,,
,,2212,,,"click on the ""Tag"" icon in the right",a pop-up window with suggested friends and search bar is opened,,,,,
,,2212,,,choose a friend,,,,,,
,,2212,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2213,Add a story with one photo from gallery and add a sticker to it,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2213,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2213,,,"Click on ""Story""",,,,,,
,,2213,,,Choose the photo you want,window with the photo as background opens by default,,,,,
,,2213,,,"click on the ""sticker"" icon in the right",a pop-up window with suggested stickers is opened,,,,,
,,2213,,,choose a sticker,,,,,,
,,2213,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2214,Add a story with one photo from gallery and add a location to it,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2214,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2214,,,"Click on ""Story""",,,,,,
,,2214,,,Choose the photo you want,window with the photo as background opens by default,,,,,
,,2214,,,"click on the ""sticker"" icon in the right",a pop-up window with suggested stickers is opened,,,,,
,,2214,,,"choose ""location"" sticker",a pop-up window with suggested locations and search bar is opened,,,,,
,,2214,,,choose any location,,,,,,
,,2214,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2215,Add a story with one photo from gallery and add tag a friend/page through stickers,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2215,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2215,,,"Click on ""Story""",,,,,,
,,2215,,,Choose the photo you want,window with the photo as background opens by default,,,,,
,,2215,,,"click on the ""sticker"" icon in the right",a pop-up window with suggested stickers is opened,,,,,
,,2215,,,"choose ""TAG"" sticker",a pop-up window with suggested friends and search bar is opened,,,,,
,,2215,,,choose a friend,,,,,,
,,2215,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2215,Add a story with one photo from gallery and add tag a friend/page through stickers,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2215,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2215,,,"Click on ""Story""",,,,,,
,,2215,,,Choose the photo you want,window with the photo as background opens by default,,,,,
,,2215,,,"click on the ""sticker"" icon in the right",a pop-up window with suggested stickers is opened,,,,,
,,2215,,,"choose ""TAG"" sticker",a pop-up window with suggested friends and search bar is opened,,,,,
,,2215,,,choose a friend,,,,,,
,,2215,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2216,Add a story with one photo from gallery and add music through stickers,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2216,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2216,,,"Click on ""Story""",,,,,,
,,2216,,,Choose the photo you want,window with the photo as background opens by default,,,,,
,,2216,,,"click on the ""sticker"" icon in the right",a pop-up window with suggested stickers is opened,,,,,
,,2216,,,"choose ""Music"" sticker",a pop-up window with suggested music and search bar is opened,,,,,
,,2216,,,choose a song,,,,,,
,,2216,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2217,"Change visibility of a story to ""Friends""",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2217,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2217,,,"Click on ""Story""",,,,,,
,,2217,,,"Click on ""Text"" option","Blank window witth blue background and ""Start typing"" Text opens by default",,,,,
,,2217,,,Write text,,,,,,
,,2217,,,Click Done button in the upper right corner,,,,,,
,,2217,,,"click on ""Privacy"" button in the lower left part of the screen","""Story privacy"" window is opened",,,,,
,,2217,,,"Choose ""Freinds""",,,,,,
,,2217,,,"click on ""back"" button",,,,,,
,,2217,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2218,Turn off comments for a story,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2218,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2218,,,"Click on ""Story""",,,,,,
,,2218,,,"Click on ""Text"" option","Blank window witth blue background and ""Start typing"" Text opens by default",,,,,
,,2218,,,Write text,,,,,,
,,2218,,,Click Done button in the upper right corner,,,,,,
,,2218,,,"click on ""Privacy"" button in the lower left part of the screen","""Story privacy"" window is opened",,,,,
,,2218,,,"Turn off ""Comments"" checkbox",,,,,,
,,2218,,,"click on ""back"" button",,,,,,
,,2218,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2219,"Turn off ""Shareing to instagram"" option",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2219,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2219,,,"Click on ""Story""",,,,,,
,,2219,,,"Click on ""Text"" option","Blank window witth blue background and ""Start typing"" Text opens by default",,,,,
,,2219,,,Write text,,,,,,
,,2219,,,Click Done button in the upper right corner,,,,,,
,,2219,,,"click on ""Privacy"" button in the lower left part of the screen","""Story privacy"" window is opened",,,,,
,,2219,,,"Turn off ""Shareing to instagram"" checkbox",,,,,,
,,2219,,,"click on ""back"" button",,,,,,
,,2219,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Positive,2220,Discard a story,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2220,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2220,,,"Click on ""Story""",,,,,,
,,2220,,,"Click on ""Text"" option","Blank window witth blue background and ""Start typing"" Text opens by default",,,,,
,,2220,,,Write text,,,,,,
,,2220,,,Click Done button in the upper right corner,,,,,,
,,2220,,,"click on ""back"" button","""Discard story"" window is opened",,,,,
,,2220,,,"Click ""Discard story"" button in the lower right corner","Back to ""Create Story"" window",,,,,
FR2: Adding Stories,Positive,2221,Save a story with one photo from gallery and add music to it ,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2221,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2221,,,"Click on ""Story""",,,,,,
,,2221,,,Choose the photo you want,window with the photo as background opens by default,,,,,
,,2221,,,"click on the ""Music"" icon in the right",a pop-up window with suggested music and search bar is opened,,,,,
,,2221,,,choose a song,,,,,,
,,2221,,,Click Save button in the lower left corner,Story is saved,,,,,
FR2: Adding Stories,Positive,2222,Add a story with one photo from gallery and add a GIF to it,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-219,,
,,2222,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2222,,,"Click on ""Story""",,,,,,
,,2222,,,Choose the photo you want,window with the photo as background opens by default,,,,,
,,2222,,,"click on the ""sticker"" icon in the right",a pop-up window with suggested stickers is opened,,,,,
,,2222,,,Click on the GIF sticker,,,,,,
,,2222,,,choose the GIF,,,,,,
,,2222,,,Click Share button in the lower right corner,Story is added,,,,,
FR2: Adding Stories,Negative,2301,Cant add a story with no test or attachments,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2301,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2301,,,"Click on ""Story""",,,,,,
,,2301,,,"Click on ""Text"" option","Blank window witth blue background and ""Start typing"" Text opens by default",,,,,
,,2301,,,Click Done button in the upper right corner,"""Done"" button is not avaialble ",,,,,
FR2: Adding Stories,Negative,2302,Can't Add a story with one photo using camera without permission,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2302,,Facebook is given permision to access camera,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-75,,,
,,2302,,,"Click on ""Story""",,,,,,
,,2302,,,"Click on ""camera"" button in the lower right",pop-up window asking about the permission of accessing camera,,,,,
FR2: Adding Stories,Negative,2303,Can't Add a story with one photo from gallery without permission,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2303,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2303,,,"Click on ""Story""",pop-up window asking about the permission of accessing gallery,,,,,
FR2: Adding Stories,Negative,2304,Can't Add a story with one video from camera without permission,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2304,,Facebook is given permision to access camera,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-75,,,
,,2304,,,"Click on ""Story""",,,,,,
,,2304,,,"Click on ""camera"" button in the lower right","pop-up windows open asking about the permission of accessing camera , record audio and record video",,,,,
FR2: Adding Stories,Negative,2305,Videos with more than 26 seconds duration won't fit one story,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2305,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2305,,,"Click on ""Story""",,,,,,
,,2305,,,Choose a long video (>26 secs) ,"Trim option with ""Longer videos get shortened"" messsage pops up and video is trimmed to 26 seconds",,,,,
FR2: Adding Stories,Negative,2306,Can't add test to stories more than 256 english characters,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2306,,,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,,,,
,,2306,,,"Click on ""Story""",,,,,,
,,2306,,,"Click on ""Text"" option","Blank window witth blue background and ""Start typing"" Text opens by default",,,,,
,,2306,,,Write text (more than 256 characters),Can't add any characters and the test slightely shakes to indicate that,,,,,
FR2: Adding Stories,Negative,2307,Can't upload more than 4gb video as a story,App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2307,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2307,,,"Click on ""Story""",,,,,,
,,2307,,,choos the desired video,"an error pop-up message opens indicating that ""size is too large'",,,,,
FR2: Adding Stories,Negative,2308,"Can't save a photo as a story without adding anything (text , sticker or music) to it",App is Installed and Opened,Click on HOME icon,,Manual,FTT-72,FTT-220,,
,,2308,,Facebook is given permision to access gallery,"Click on the ""+"" button","""Add"" pop-up is showed with options (Post ,Story ,Reel, Live)",,FTT-74,,,
,,2308,,,"Click on ""Story""",,,,,,
,,2308,,,choose a photo,Save option is not avaialble,,,,,
